drug_id,name,brand_names,category,atc_code,pubchem_cid,smiles,formula,molecular_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,heavy_atoms,ring_count,cyp_inhibitor,cyp_substrate,qt_prolonging,bleeding_risk,serotonergic,renal_risk,clinician_note
1,Warfarin,"Coumadin, Jantoven",Anticoagulant,B01AA03,54678486,CC(=O)CC(C1=CC=CC=C1)C2=C(O)C3=CC=CC=C3OC2=O,C19H16O4,308.33,3.61,67.51,1,4,4,23,3,0,1,0,1,0,0,"Direct oral anticoagulants (Apixaban, Rivaroxaban) may be evaluated depending on renal function and clinical indication."
2,Aspirin,"Bayer, Ecotrin",NSAID / Antiplatelet,B01AC06,2244,CC(=O)OC1=CC=CC=C1C(=O)O,C9H8O4,180.16,1.31,63.6,1,3,2,13,1,0,0,0,1,0,1,Acetaminophen/Paracetamol is preferred for antipyretic/analgesic indication without antiplatelet risk.
3,Clopidogrel,Plavix,Antiplatelet,B01AC04,60606,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,C16H16ClNO2S,321.83,3.67,29.54,0,4,3,21,3,1,1,0,1,0,0,Ticagrelor or Prasugrel may be considered for acute coronary syndrome per specialist review.
4,Apixaban,Eliquis,Anticoagulant (DOAC),B01AF02,10182969,COC1=CC=C(C=C1)N2C(=O)C3=C(N2)C(=NN3C4=CC=C(C=C4)N5CCCCC5=O)C(=O)N,C23H22N6O4,446.47,2.13,128.24,2,5,5,33,5,0,1,0,1,0,1,Rivaroxaban or Dabigatran after assessing creatinine clearance and bleeding score.
5,Rivaroxaban,Xarelto,Anticoagulant (DOAC),B01AF01,9875401,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,C19H18ClN3O5S,435.89,2.52,88.18,1,6,5,29,4,0,1,0,1,0,1,Apixaban has twice-daily dosing with lower peak-trough fluctuation.
6,Dabigatran,Pradaxa,Direct Thrombin Inhibitor,B01AE07,9578572,CCCCOC(=O)C(CC(=O)NC1=C(C=C(C=C1)C(=O)NCC2=CC=CC=N2)N(C)CC3=CC=CC=C3)NC(=N)N,C30H37N7O4,559.67,3.17,162.53,5,7,14,41,3,0,0,0,1,0,1,Specific reversal agent Idarucizumab available; adjust for renal clearance.
7,Ibuprofen,"Advil, Motrin",NSAID,M01AE01,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C13H18O2,206.28,3.07,37.3,1,1,4,15,1,0,1,0,1,0,1,Paracetamol for baseline analgesia; topical NSAIDs for localized musculoskeletal pain.
8,Paracetamol,"Tylenol, Panadol, Acetaminophen",Analgesic / Antipyretic,N02BE01,1983,CC(=O)NC1=CC=C(O)C=C1,C8H9NO2,151.16,1.35,49.33,2,2,1,11,1,0,1,0,0,0,0,Low GI bleeding profile. Verify maximum daily dose (<4000 mg/24h) to avoid hepatotoxicity.
9,Naproxen,"Aleve, Naprosyn",NSAID,M01AE02,156391,CC(C1=CC2=C(C=C1)C=C(OC)C=C2)C(=O)O,C14H14O3,230.26,3.04,46.53,1,2,3,17,2,0,1,0,1,0,1,Celecoxib with PPI co-prescription if high GI risk and acceptable cardiovascular status.
10,Celecoxib,Celebrex,COX-2 Inhibitor NSAID,M01AH01,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,C17H14F3N3O2S,381.38,3.51,77.98,1,3,3,26,3,1,1,0,1,0,1,Acetaminophen for lower cardiovascular and renal risk profile.
