drug_a,drug_b,interaction,severity,mechanism,clinical_risk,recommendation,potential_alternative
Warfarin,Aspirin,1,Major,Synergistic anticoagulant and antiplatelet pharmacodynamic action impairs both secondary hemostasis and primary platelet plug formation.,"Severe and potentially fatal hemorrhage, including gastrointestinal bleeding and intracranial hemorrhage.",Avoid combination unless strictly indicated for high-risk prosthetic heart valves under rigorous INR monitoring.,"For analgesia/antipyresis, consider Paracetamol. For antiplatelet monotherapy, review clinical guidelines."
Warfarin,Ibuprofen,1,Major,"NSAID causes gastric mucosal damage and reversible platelet inhibition, while competitively displacing warfarin from plasma albumin.","Marked increase in gastrointestinal ulceration, severe gastrointestinal hemorrhage, and elevated INR.",Contraindicated in routine practice. Discontinue NSAID and switch to safer analgesic options.,Paracetamol (up to 2g daily) or topical analgesics after clinician evaluation.
Warfarin,Clarithromycin,1,Major,"Potent inhibition of CYP3A4 and hepatic enzymes by macrolide, with gut flora eradication reducing vitamin K synthesis.","Dramatic escalation of prothrombin time/INR, acute bleeding episodes.",Select alternative antibiotic with minimal CYP interaction or reduce warfarin dose by 30-50% with daily INR tracking.,"Azithromycin, Doxycycline, or Amoxicillin under antimicrobial stewardship review."
Warfarin,Fluconazole,1,Major,Potent inhibition of CYP2C9 and CYP3A4 blocks metabolic degradation of the active (S)-warfarin enantiomer.,Profound INR prolongation with catastrophic hematological toxicity and major hemorrhage.,"Avoid concomitant use. If unavoidable, pre-emptively reduce warfarin dosage by 50% with frequent INR checks.","Nystatin for topical oral candidiasis, or clinical evaluation of echinocandins."
Warfarin,Ketorolac,1,Major,Severe additive inhibition of hemostasis with potent gastrointestinal mucosal ulceration.,Life-threatening gastrointestinal hemorrhage and surgical site bleeding.,Absolute contraindication. Avoid co-administration completely.,Paracetamol or opioid analgesics (Morphine) titrated under physician supervision.
Simvastatin,Clarithromycin,1,Major,Irreversible inhibition of CYP3A4 markedly increases systemic bio-availability and area under curve (AUC) of simvastatin by up to 10-fold.,"Severe myopathy, muscle necrosis, acute rhabdomyolysis, and secondary acute kidney injury.",Temporarily suspend simvastatin therapy during macrolide antibiotic course.,"Substitute pravastatin or rosuvastatin, or select non-CYP3A4 antibiotic (Azithromycin, Amoxicillin)."
Simvastatin,Amiodarone,1,Major,Amiodarone and its active metabolite DEA inhibit CYP3A4 and P-glycoprotein-mediated transport of simvastatin.,"Dose-dependent myopathy, elevated creatine kinase, and rhabdomyolysis.","Do not exceed simvastatin 20 mg daily, or preferably convert to a statin not metabolized by CYP3A4.",Pravastatin (20-40 mg) or Rosuvastatin under physician guidance.
Simvastatin,Ketoconazole,1,Major,Profound CYP3A4 suppression causes massive plasma accumulation of active simvastatin acid.,High risk of life-threatening rhabdomyolysis and acute renal shutdown.,Co-administration contraindicated. Hold statin during azole therapy.,"Pravastatin, or switch to topical antifungal formulation where appropriate."
Fluoxetine,Tramadol,1,Major,"Combined inhibition of serotonin reuptake causes toxic accumulation of 5-HT, and fluoxetine inhibits CYP2D6 bioactivation of tramadol.","High risk of life-threatening Serotonin Syndrome (hyperthermia, clonus, autonomic instability) and lowered seizure threshold.",Avoid combination. Consider alternative pain management modalities.,Paracetamol for mild-to-moderate pain; non-serotonergic analgesics.
Amiodarone,Azithromycin,1,Major,Additive blockade of cardiac delayed rectifier potassium channels (IKr) significantly delays ventricular repolarization.,"Excessive QT interval prolongation, Torsades de Pointes, ventricular fibrillation, and sudden cardiac arrest.",Contraindicated. Evaluate alternative antimicrobial agents with no known cardiac repolarization liability.,"Beta-lactams (Amoxicillin, Cefuroxime) or Doxycycline."
